Date,Open,High,Low,Close,Adj Close,Volume
2020-04-28,67.800003,69.620003,66.699997,69.220001,66.831734,926200
2020-04-29,70.930000,72.610001,70.779999,70.970001,68.521347,1136100
2020-04-30,69.690002,70.430000,67.900002,67.900002,65.557266,1332700
2020-05-01,65.269997,68.660004,64.790001,68.660004,66.291046,1209900
2020-05-04,66.559998,69.389999,65.500000,69.059998,66.677246,1135100
2020-05-05,71.410004,72.190002,68.839996,68.879997,66.503464,1106600
2020-05-06,69.849998,70.125000,68.599998,69.220001,66.831734,695700
2020-05-07,70.510002,71.500000,70.250000,70.589996,68.154465,616600
2020-05-08,70.879997,72.220001,69.970001,71.970001,69.486847,701800
2020-05-11,71.260002,73.959999,71.019997,73.730003,71.186127,578500
2020-05-12,74.250000,76.360001,73.339996,73.349998,70.819229,1123200
2020-05-13,73.099998,73.150002,69.419998,70.330002,67.903435,823500
2020-05-14,69.000000,71.900002,68.000000,71.540001,69.071678,741400
2020-05-15,71.760002,72.900002,71.180000,72.370003,69.873047,788200
2020-05-19,73.300003,73.699997,71.410004,72.930000,70.413719,600500
2020-05-20,74.110001,74.199997,72.430000,73.019997,70.500610,1795400
2020-05-21,72.879997,74.699997,71.849998,74.459999,71.890930,1119700
2020-05-22,75.000000,75.389999,73.050003,74.230003,71.668869,597000
2020-05-25,75.099998,75.599998,74.650002,75.400002,72.798500,105400
2020-05-26,75.989998,77.440002,74.620003,74.620003,72.045418,1094600
2020-05-27,76.459999,77.400002,75.059998,75.980003,73.358490,1196500
2020-05-28,76.900002,77.019997,74.639999,74.690002,72.113007,511400
2020-05-29,75.139999,75.720001,74.019997,75.220001,72.624710,912300
2020-06-01,74.870003,76.169998,74.510002,75.779999,73.165398,534900
2020-06-02,75.709999,77.400002,75.709999,77.230003,74.565369,809700
2020-06-03,78.199997,80.720001,78.199997,79.019997,76.293594,738100
2020-06-04,79.000000,80.500000,78.019997,78.040001,75.347420,667800
2020-06-05,80.089996,81.040001,79.480003,79.949997,77.191513,1752600
2020-06-08,80.830002,81.500000,79.209999,79.800003,77.046684,553500
2020-06-09,78.699997,80.769997,78.220001,79.639999,76.892204,2943600
2020-06-10,79.709999,79.800003,76.699997,77.120003,74.459152,1460600
2020-06-11,73.790001,76.620003,73.089996,75.269997,72.672981,1171600
2020-06-12,77.010002,77.419998,74.019997,75.739998,73.126762,2283000
2020-06-15,73.400002,76.779999,73.019997,76.769997,74.121223,3103600
2020-06-16,77.879997,78.500000,75.440002,75.629997,73.698311,1687300
2020-06-17,76.209999,76.870003,75.300003,76.300003,74.351204,1477600
2020-06-18,75.970001,76.500000,75.320000,76.190002,74.244011,407100
2020-06-19,76.980003,77.269997,73.389999,73.389999,71.515526,3447900
2020-06-22,73.410004,74.589996,73.250000,74.540001,72.636162,2732900
2020-06-23,75.180000,75.360001,73.709999,74.570000,72.665390,740300
2020-06-24,73.750000,74.300003,71.870003,74.070000,72.178154,889300
2020-06-25,73.129997,74.430000,72.480003,73.370003,71.496040,483000
2020-06-26,73.040001,73.300003,71.449997,71.919998,70.083069,574300
2020-06-29,72.129997,75.790001,72.000000,75.629997,73.698311,509300
2020-06-30,75.580002,75.699997,73.459999,73.889999,72.002762,936100
2020-07-02,74.010002,75.470001,73.489998,73.489998,71.612968,851700
2020-07-03,73.919998,74.900002,73.500000,74.650002,72.743347,151900
2020-07-06,75.290001,76.870003,74.550003,76.489998,74.536339,1063300
2020-07-07,76.099998,76.099998,74.250000,74.320000,72.421776,297900
2020-07-08,73.919998,75.129997,73.629997,74.230003,72.334076,352300
2020-07-09,74.440002,74.629997,72.919998,74.019997,72.129433,2616100
2020-07-10,74.290001,74.879997,73.389999,74.809998,72.899254,1044500
2020-07-13,74.720001,76.550003,73.739998,73.860001,71.973526,558400
2020-07-14,73.500000,75.940002,73.040001,75.660004,73.727554,1478700
2020-07-15,76.809998,78.790001,76.620003,78.599998,76.592453,732100
2020-07-16,77.790001,78.769997,77.639999,78.500000,76.495018,574200
2020-07-17,78.680000,78.800003,77.760002,78.230003,76.231911,326700
2020-07-20,78.000000,78.290001,76.400002,77.169998,75.198975,531700
2020-07-21,77.510002,78.209999,76.550003,76.589996,74.633797,288400
2020-07-22,76.529999,78.160004,76.080002,77.209999,75.237961,449800
2020-07-23,77.540001,77.540001,75.669998,76.410004,74.458389,426800
2020-07-24,75.910004,76.709999,75.550003,76.309998,74.360947,430400
2020-07-27,76.250000,76.309998,75.269997,75.459999,73.532661,328000
2020-07-28,75.190002,75.190002,74.029999,74.360001,72.460754,583600
2020-07-29,74.720001,76.449997,74.209999,75.860001,73.922447,498100
2020-07-30,74.989998,77.379997,74.589996,77.199997,75.228210,487600
2020-07-31,76.699997,76.750000,74.809998,75.650002,73.717812,567100
2020-08-04,76.120003,78.070000,76.110001,77.199997,75.228210,519300
2020-08-05,77.190002,77.699997,76.419998,76.639999,74.682518,328700
2020-08-06,75.209999,75.820000,73.389999,73.419998,71.544754,871000
2020-08-07,73.239998,73.370003,71.800003,71.830002,69.995369,773800
2020-08-10,72.269997,74.279999,71.360001,73.180000,71.310890,623400
2020-08-11,73.660004,75.650002,73.660004,73.790001,71.905304,791300
2020-08-12,74.410004,74.709999,72.010002,72.040001,70.200005,515800
2020-08-13,72.040001,73.019997,71.690002,71.860001,70.024605,488700
2020-08-14,71.879997,72.440002,70.849998,72.110001,70.268211,401000
2020-08-17,72.260002,72.400002,71.199997,71.779999,69.946648,1033200
2020-08-18,71.959999,72.300003,71.230003,72.290001,70.443619,653600
2020-08-19,71.949997,72.279999,71.370003,71.919998,70.083069,1556900
2020-08-20,71.580002,73.050003,71.370003,71.879997,70.044090,735000
2020-08-21,71.870003,72.180000,70.900002,71.019997,69.206047,954700
2020-08-24,71.099998,72.120003,70.449997,72.010002,70.170776,876500
2020-08-25,72.010002,72.370003,71.029999,71.480003,69.654320,676200
2020-08-26,71.419998,71.779999,70.680000,71.720001,69.888184,337600
2020-08-27,71.620003,73.339996,71.470001,71.620003,69.790733,406800
2020-08-28,71.570000,72.949997,71.279999,72.589996,70.735962,600300
2020-08-31,72.550003,72.760002,70.589996,70.669998,68.864998,958800
2020-09-01,70.500000,72.000000,70.419998,71.830002,69.995369,747800
2020-09-02,72.339996,74.839996,72.290001,74.620003,72.714111,1091500
2020-09-03,75.000000,75.419998,73.589996,74.260002,72.363304,641100
2020-09-04,74.739998,75.120003,72.680000,73.180000,71.310890,1148100
